Ref Des,Package,Manufacturer PN,Qty,Link
,,TSW-114-14-T-S,1,https://www.digikey.com/product-detail/en/samtec-inc/TSW-114-14-T-S/SAM1059-14-ND/1102810
,,M34S75C4F1,8,https://www.digikey.com/product-detail/en/jae-electronics/M34S75C4F1/670-2268-1-ND/2044290
J3,16-pin,OBDII-FEMALE,1,https://cn1514770021qfbj.en.alibaba.com/product/60598699808-804284542/J1962F_OBD2_16_Pin_Female_connector_OBD2_Socket.html?spm=a2700.8304367.prewdfa4cf.23.69f6cd4FYbHXy
SW1,SMD,204-214ST,1,https://www.digikey.com/product-detail/en/cts-electrocomponents/204-214ST/CT204214ST-ND/267313
,,PJ-006A-SMT-TR,1,https://www.digikey.com/product-detail/en/cui-inc/PJ-006A-SMT-TR/CP-006APJCT-ND/669696
