Ref Des,Package,Manufacturer PN,Qty,Link
J1,12-pin-RA,1318772-2,1,http://www.mouser.com/Search/ProductDetail.aspx?R=1318772-2virtualkey57100000virtualkey571-1318772-2
J2,12-pin,1318774-1,1,http://www.mouser.com/Search/ProductDetail.aspx?R=1318774-1virtualkey57100000virtualkey571-1318774-1
,,1123343-1,12,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/1123343-1/A107011CT-ND/3488572
,,PRPC040SAAN-RC,1,https://www.digikey.com/products/en?keywords=S1011EC-40-ND
J3,16-pin,OBDII-FEMALE,1,https://cn1514770021qfbj.en.alibaba.com/product/60598699808-804284542/J1962F_OBD2_16_Pin_Female_connector_OBD2_Socket.html?spm=a2700.8304367.prewdfa4cf.23.69f6cd4FYbHXy
J4,RJ45-RA,A-2004-2-4-LPS-N-R,1,https://www.digikey.com/product-detail/en/assmann-wsw-components/A-2004-2-4-LPS-N-R/AE10387-ND/2183638
J5,3-pin,EJ508A,1,https://www.digikey.com/products/en?keywords=ej508a
SW1,SMD,204-214ST,1,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=238874105&uq=636415194298612120
SCREWs,Phillips,92010A118,2,https://www.mcmaster.com/#catalog/92010A118
